date,kind,name,nav,ytd_return_pct,daily_change_pct
2026-05-19,fund,鑫盛1号,1.1952,17.2300,0.0700
2026-05-19,fund,领航1号,1.1382,13.8200,0.4400
2026-05-20,fund,锐进1号,1.0302,3.0200,0.4600
2026-05-20,fund,瑞享1号,1.0807,0.8100,0.0050
2026-05-20,fund,瑞享3号,0.6776,-17.2900,-2.3900
2026-05-20,fund,配置1号,1.1107,3.9800,0.4100
2026-05-20,fund,瑞臻1号,1.2821,-17.3100,-0.9000
2026-05-20,fund,鑫盛1号,1.2005,17.7500,0.4400
2026-05-20,fund,领航1号,1.1494,14.9300,0.9800
2026-04-10,benchmark,沪深300_since_2026-02-27,,-1.5726,
2026-04-10,benchmark,中证500_since_2026-02-27,,-7.9585,
2026-04-13,benchmark,沪深300_since_2026-02-27,,-1.3691,
2026-04-13,benchmark,中证500_since_2026-02-27,,-7.9778,
2026-04-14,benchmark,沪深300_since_2026-02-27,,-0.1988,
2026-04-14,benchmark,中证500_since_2026-02-27,,-6.5818,
2026-04-15,benchmark,沪深300_since_2026-02-27,,-0.5392,
2026-04-15,benchmark,中证500_since_2026-02-27,,-7.0956,
2026-04-16,benchmark,沪深300_since_2026-02-27,,0.5511,
2026-04-16,benchmark,中证500_since_2026-02-27,,-5.5249,
2026-04-17,benchmark,沪深300_since_2026-02-27,,0.3826,
2026-04-17,benchmark,中证500_since_2026-02-27,,-5.1309,
2026-04-20,benchmark,沪深300_since_2026-02-27,,0.9934,
2026-04-20,benchmark,中证500_since_2026-02-27,,-4.2551,
2026-04-21,benchmark,沪深300_since_2026-02-27,,1.2175,
2026-04-21,benchmark,中证500_since_2026-02-27,,-4.4826,
2026-04-22,benchmark,沪深300_since_2026-02-27,,1.8889,
2026-04-22,benchmark,中证500_since_2026-02-27,,-3.2600,
2026-04-23,benchmark,沪深300_since_2026-02-27,,1.6066,
2026-04-23,benchmark,中证500_since_2026-02-27,,-4.1952,
2026-04-24,benchmark,沪深300_since_2026-02-27,,1.2466,
2026-04-24,benchmark,中证500_since_2026-02-27,,-4.7419,
2026-04-27,benchmark,沪深300_since_2026-02-27,,1.2801,
2026-04-27,benchmark,中证500_since_2026-02-27,,-4.1509,
2026-04-28,benchmark,沪深300_since_2026-02-27,,1.0097,
2026-04-28,benchmark,中证500_since_2026-02-27,,-5.2491,
2026-04-29,benchmark,沪深300_since_2026-02-27,,2.1165,
2026-04-29,benchmark,中证500_since_2026-02-27,,-3.6499,
2026-04-30,benchmark,沪深300_since_2026-02-27,,2.0519,
2026-04-30,benchmark,中证500_since_2026-02-27,,-3.5681,
2026-05-06,benchmark,沪深300_since_2026-02-27,,3.5334,
2026-05-06,benchmark,中证500_since_2026-02-27,,-0.8086,
2026-05-07,benchmark,沪深300_since_2026-02-27,,4.0305,
2026-05-07,benchmark,中证500_since_2026-02-27,,0.4429,
2026-05-08,benchmark,沪深300_since_2026-02-27,,3.4234,
2026-05-08,benchmark,中证500_since_2026-02-27,,0.4126,
2026-05-11,benchmark,沪深300_since_2026-02-27,,5.1201,
2026-05-11,benchmark,中证500_since_2026-02-27,,2.0938,
2026-05-12,benchmark,沪深300_since_2026-02-27,,5.0396,
2026-05-12,benchmark,中证500_since_2026-02-27,,1.4729,
2026-05-13,benchmark,沪深300_since_2026-02-27,,6.1073,
2026-05-13,benchmark,中证500_since_2026-02-27,,3.0004,
2026-05-14,benchmark,沪深300_since_2026-02-27,,4.3296,
2026-05-14,benchmark,中证500_since_2026-02-27,,0.1352,
2026-05-15,benchmark,沪深300_since_2026-02-27,,3.1619,
2026-05-15,benchmark,中证500_since_2026-02-27,,-1.4103,
2026-05-18,benchmark,沪深300_since_2026-02-27,,2.6085,
2026-05-18,benchmark,中证500_since_2026-02-27,,-1.2036,
2026-05-19,benchmark,沪深300_since_2026-02-27,,3.0195,
2026-05-19,benchmark,中证500_since_2026-02-27,,-0.3523,
2026-05-20,benchmark,沪深300_since_2026-02-27,,2.9731,
2026-05-20,benchmark,中证500_since_2026-02-27,,-0.0248,
